YEAR^dist_code^port_code^I_COMMODITY^CTY_NAME^GEN_VAL_MO^trade_type^PORT_NAME^CTY_CODE^I_COMMODITY_SDESC^I_COMMODITY^PORT^YEAR
2020^23^04^10^TWENTY LATIN AMERICAN REPUBLICS^459629^import^"LAREDO, TX"^0021^CEREALS^10^2304^2020
2020^23^04^10^TWENTY LATIN AMERICAN REPUBLICS^766226^import^"LAREDO, TX"^0021^CEREALS^10^2304^2020
2020^23^04^10^TWENTY LATIN AMERICAN REPUBLICS^417985^import^"LAREDO, TX"^0021^CEREALS^10^2304^2020
2020^23^04^10^TWENTY LATIN AMERICAN REPUBLICS^301075^import^"LAREDO, TX"^0021^CEREALS^10^2304^2020
2020^23^04^10^TWENTY LATIN AMERICAN REPUBLICS^416751^import^"LAREDO, TX"^0021^CEREALS^10^2304^2020
2020^23^04^10^TWENTY LATIN AMERICAN REPUBLICS^540800^import^"LAREDO, TX"^0021^CEREALS^10^2304^2020
2020^23^04^10^TWENTY LATIN AMERICAN REPUBLICS^685133^import^"LAREDO, TX"^0021^CEREALS^10^2304^2020
2020^23^04^10^TWENTY LATIN AMERICAN REPUBLICS^523136^import^"LAREDO, TX"^0021^CEREALS^10^2304^2020
2020^23^04^10^TWENTY LATIN AMERICAN REPUBLICS^458499^import^"LAREDO, TX"^0021^CEREALS^10^2304^2020
2020^23^04^10^TWENTY LATIN AMERICAN REPUBLICS^685753^import^"LAREDO, TX"^0021^CEREALS^10^2304^2020
2020^23^05^10^TWENTY LATIN AMERICAN REPUBLICS^35397^import^"HILDAGO, TX"^0021^CEREALS^10^2305^2020
2020^23^05^10^TWENTY LATIN AMERICAN REPUBLICS^15096^import^"HILDAGO, TX"^0021^CEREALS^10^2305^2020
2020^23^05^10^TWENTY LATIN AMERICAN REPUBLICS^477555^import^"HILDAGO, TX"^0021^CEREALS^10^2305^2020
2020^23^05^10^TWENTY LATIN AMERICAN REPUBLICS^18588^import^"HILDAGO, TX"^0021^CEREALS^10^2305^2020
2020^23^05^10^TWENTY LATIN AMERICAN REPUBLICS^35750^import^"HILDAGO, TX"^0021^CEREALS^10^2305^2020
2020^23^05^10^TWENTY LATIN AMERICAN REPUBLICS^61864^import^"HILDAGO, TX"^0021^CEREALS^10^2305^2020
2020^23^05^10^TWENTY LATIN AMERICAN REPUBLICS^9708^import^"HILDAGO, TX"^0021^CEREALS^10^2305^2020
2020^23^05^10^TWENTY LATIN AMERICAN REPUBLICS^28420^import^"HILDAGO, TX"^0021^CEREALS^10^2305^2020
